"","year","exporter","importer","product","value","quantity","description"
"150",2022,"Czechia","Poland","010392",3472.947,2515.014,"Swine: live, other than pure-bred breeding animals, weighing 50kg or more"
"151",2022,"Czechia","Portugal","010310",86.567,11.056,"Swine: live, pure-bred breeding animals"
"152",2022,"Czechia","Romania","010310",448.85,86.382,"Swine: live, pure-bred breeding animals"
"153",2022,"Czechia","Romania","010391",103.446,151.024,"Swine: live, other than pure-bred breeding animals, weighing less than 50kg"
"154",2022,"Czechia","Romania","010392",1137.415,760.771,"Swine: live, other than pure-bred breeding animals, weighing 50kg or more"
"155",2022,"Czechia","Russian Federation","010310",207.027,29.4,"Swine: live, pure-bred breeding animals"
"156",2022,"Czechia","Slovakia","010310",727.968,413.947,"Swine: live, pure-bred breeding animals"
"157",2022,"Czechia","Slovakia","010391",2316.237,970.177,"Swine: live, other than pure-bred breeding animals, weighing less than 50kg"
"158",2022,"Czechia","Slovakia","010392",19587.523,13427.511,"Swine: live, other than pure-bred breeding animals, weighing 50kg or more"
"159",2022,"Czechia","Slovenia","010310",4.74,0.249,"Swine: live, pure-bred breeding animals"
"160",2022,"Denmark","Austria","010310",11.313,0.393,"Swine: live, pure-bred breeding animals"
"161",2022,"Denmark","Austria","010391",365.698,107.446,"Swine: live, other than pure-bred breeding animals, weighing less than 50kg"
"162",2022,"Denmark","Austria","010392",162.43,174.858,"Swine: live, other than pure-bred breeding animals, weighing 50kg or more"
"163",2022,"Denmark","Belarus","010310",1004.382,82.349,"Swine: live, pure-bred breeding animals"
"164",2022,"Denmark","Belarus","010391",211.863,59.56,"Swine: live, other than pure-bred breeding animals, weighing less than 50kg"
"165",2022,"Denmark","Belarus","010392",78.086,8.696,"Swine: live, other than pure-bred breeding animals, weighing 50kg or more"
"166",2022,"Denmark","Belgium","010310",86.267,17.875,"Swine: live, pure-bred breeding animals"
"167",2022,"Denmark","Belgium","010391",1225.91,326.815,"Swine: live, other than pure-bred breeding animals, weighing less than 50kg"
"168",2022,"Denmark","Belgium","010392",4040.187,1934.83,"Swine: live, other than pure-bred breeding animals, weighing 50kg or more"
"169",2022,"Denmark","Bosnia Herzegovina","010391",1377.696,553.462,"Swine: live, other than pure-bred breeding animals, weighing less than 50kg"
"170",2022,"Denmark","Brazil","010310",1229.305,24.16,"Swine: live, pure-bred breeding animals"
"171",2022,"Denmark","Bulgaria","010310",1322.499,196.506,"Swine: live, pure-bred breeding animals"
"172",2022,"Denmark","Bulgaria","010391",69.634,6.68,"Swine: live, other than pure-bred breeding animals, weighing less than 50kg"
"173",2022,"Denmark","Bulgaria","010392",826.78,470.682,"Swine: live, other than pure-bred breeding animals, weighing 50kg or more"
"174",2022,"Denmark","Cambodia","010310",466.142,8.056,"Swine: live, pure-bred breeding animals"
"175",2022,"Denmark","China","010310",2878.074,48.268,"Swine: live, pure-bred breeding animals"
"176",2022,"Denmark","China","010391",50.934,0.21,"Swine: live, other than pure-bred breeding animals, weighing less than 50kg"
"177",2022,"Denmark","Colombia","010310",206.885,4.08,"Swine: live, pure-bred breeding animals"
"178",2022,"Denmark","Croatia","010310",149.331,29.935,"Swine: live, pure-bred breeding animals"
"179",2022,"Denmark","Croatia","010391",13306.024,6286.374,"Swine: live, other than pure-bred breeding animals, weighing less than 50kg"
"180",2022,"Denmark","Croatia","010392",491.94,714.095,"Swine: live, other than pure-bred breeding animals, weighing 50kg or more"
