"exporter","importer","no_exported_animals","exporter_herd_size","rate_exp_to_imp","rel_p_exp_to_imp"
"Denmark","Poland",18194.591435312,11583000,0.0015708012980499,0.457054344529913
"Denmark","Portugal",0.527491933028919,11583000,4.55401824250125e-08,1.32507773286647e-05
"Denmark","Romania",237.659889802131,11583000,2.05179910042416e-05,0.00597009751720767
"Denmark","Serbia",343.316645357686,11583000,2.9639700022247e-05,0.00862423126499159
"Denmark","Slovakia",98.8738910197869,11583000,8.53612112749607e-06,0.00248374587645121
"Denmark","Slovenia",4.43357290715373,11583000,3.82765510416449e-07,0.000111372864084869
"Denmark","Spain",442.848750380518,11583000,3.82326470154984e-05,0.0111245117017703
"Denmark","Sweden",2.00119756468798,11583000,1.72770229188291e-07,5.02707655984052e-05
"Denmark","Switzerland",0.0595890410958904,11583000,5.1445256924709e-09,1.49689704306247e-06
"Denmark","Ukraine",7.16907792998478,11583000,6.18931013553033e-07,0.00018008968356463
"Denmark","United Kingdom",1.10694124809741,11583000,9.55660233184333e-08,2.78067418211092e-05
"Estonia","Latvia",2.99786910197869,283550,1.05726295255817e-05,0.0715581252053127
"Estonia","Lithuania",19.2390258751903,283550,6.78505585441377e-05,0.459229064236475
"Estonia","Netherlands",8.84820761035008,283550,3.12051053089405e-05,0.211203733880884
"Estonia","Poland",10.7372907153729,283550,3.78673627768397e-05,0.256295510991246
"Estonia","Portugal",0.060882800608828,283550,2.14716277936265e-07,0.00145325193349538
"Estonia","Romania",0.0109056316590563,283550,3.84610532853335e-08,0.000260313752587361
"Finland","Latvia",0.00237442922374429,974130,2.43748701276451e-09,0.00179095183579451
"Finland","Netherlands",1.28363652968037,974130,1.3177261039906e-06,0.968203716638356
"Finland","Other",0.0397808219178082,974130,4.08372824138546e-08,0.0300053315258496
"France","Austria",0.190377473363775,11714940,1.62508278628636e-08,0.000199727008670062
"France","Belgium",458.307085540335,11714940,3.91215905109488e-05,0.480814781444005
"France","Bulgaria",0.0786283105022831,11714940,6.71179796928393e-09,8.24897871367066e-05
"France","Croatia",0.00219178082191781,11714940,1.87092791078555e-10,2.2994203016109e-06
"France","Cyprus",0.0754855403348554,11714940,6.44352769496518e-09,7.91926739153411e-05
"France","Czechia",0.0401716894977169,11714940,3.42909903915145e-09,4.21445417613585e-05
"France","Denmark",0.00178995433789954,11714940,1.52792446047487e-10,1.87785991298224e-06
"France","Germany",139.231328158295,11714940,1.18849373670113e-05,0.146069050055517
"France","Greece",0.219997564687976,11714940,1.8779231023631e-08,0.000230801757862748
"France","Hungary",0.641884627092846,11714940,5.47919688101558e-08,0.000673407910165839
"France","Ireland",0.0628456621004566,11714940,5.3645739628591e-09,6.59320447815234e-05
"France","Italy",65.3173500761035,11714940,5.57555993253943e-06,0.0685251186206662
"France","Luxembourg",21.9381570776256,11714940,1.87266491144006e-06,0.0230155512174259
"France","Netherlands",33.717299238965,11714940,2.87814527765102e-06,0.0353731730884145
"France","North Macedonia",0.0187689497716895,11714940,1.60213793426936e-09,1.9690702516128e-05
"France","Other",7.64252602739726,11714940,6.52374320943791e-07,0.00801785439823782
"France","Poland",4.63090684931507,11714940,3.95299237496314e-07,0.00485833305853398
"France","Portugal",0.358823744292237,11714940,3.06295844701072e-08,0.00037644576231106
"France","Romania",2.33117838660578,11714940,1.98991918576261e-07,0.00244566375215729
"France","Serbia",0.136255707762557,11714940,1.16309351787168e-08,0.000142947295416811
"France","Spain",215.538518417047,11714940,1.83986019917342e-05,0.226123725543703
"France","Switzerland",2.28824200913242,11714940,1.95326822769252e-07,0.00240061874717659
"France","Ukraine",0.390445662100457,11714940,3.3328865713393e-08,0.000409620648712551
"France","United Kingdom",0.0281692541856925,11714940,2.40455812711739e-09,2.95526606985926e-05
"Germany","Austria",783.212042922375,21292300,3.67838158828485e-05,0.180025468315633
"Germany","Belgium",38.0733610350076,21292300,1.78812815125691e-06,0.00875136524344371
"Germany","Bulgaria",14.472403348554,21292300,6.79701269874745e-07,0.0033265591534506
"Germany","Croatia",171.981560121766,21292300,8.07717156539057e-06,0.039530879513867
"Germany","Czechia",83.0356316590563,21292300,3.89979624836473e-06,0.0190861831242138
"Germany","Denmark",24.1435406392694,21292300,1.13390947146477e-06,0.00554952167763433
"Germany","Finland",0.00182648401826484,21292300,8.57814335823204e-11,4.19827100119981e-07
"Germany","France",89.5543354642314,21292300,4.20594935559951e-06,0.0205845419862133
"Germany","Greece",9.52252420091324,21292300,4.47228538058981e-07,0.00218880301229773
"Germany","Hungary",962.933471537291,21292300,4.52244929639959e-05,0.221335397912772
"Germany","Ireland",0.171700456621005,21292300,8.06396944533961e-09,3.94662663738789e-05
"Germany","Italy",248.006975038052,21292300,1.16477306368054e-05,0.0570057269040152
"Germany","Kazakhstan",0.011441095890411,21292300,5.37334899959655e-10,2.62979695515156e-06
"Germany","Lithuania",0.00664840182648402,21292300,3.12244418239646e-10,1.52817064443673e-06
"Germany","Luxembourg",59.2481692541857,21292300,2.78261011042422e-06,0.0136185079292579
"Germany","Netherlands",259.594757077626,21292300,1.21919547008837e-05,0.0596692404534622
"Germany","Other",69.8103470319635,21292300,3.27866632688641e-06,0.0160462808651573
"Germany","Poland",577.66480608828,21292300,2.71302210699774e-05,0.132779338858824
"Germany","Portugal",1.3996803652968,21292300,6.57364570899717e-08,0.000321724002499445
"Germany","Romania",769.089075494673,21292300,3.61205259880179e-05,0.17677922887364
"Germany","Serbia",4.19543378995434,21292300,1.9703995293859e-07,0.000964342848975597
"Germany","Slovakia",2.01638508371385,21292300,9.47002007164022e-08,0.000463476873575372
"Germany","Slovenia",15.0861187214612,21292300,7.08524617888213e-07,0.003467624907506
"Germany","Spain",167.32318630137,21292300,7.85838947889001e-06,0.0384601274280374
"Germany","Switzerland",0.00276407914764079,21292300,1.29815902821245e-10,6.35338344848238e-07
"Germany","United Kingdom",0.00426666666666667,21292300,2.003854288483e-10,9.80716105880276e-07
"Greece","Albania",148.297678843227,786200,0.000188625895247045,0.992068354874907
"Greece","Bulgaria",0.101260273972603,786200,1.28797092308068e-07,0.000677401792110184
"Greece","Cyprus",0.0225680365296804,786200,2.87052105439842e-08,0.000150973602873619
"Greece","Netherlands",1.03898934550989,786200,1.32153312835143e-06,0.00695053664206177
"Greece","Spain",0.0228310502283105,786200,2.90397484460831e-08,0.000152733088047931
"Hungary","Albania",76.0212709284627,2802400,2.71272020155805e-05,0.036393955010334
"Hungary","Austria",79.3636484018265,2802400,2.83198859555476e-05,0.0379940642153961
"Hungary","Bulgaria",1.28919330289193,2802400,4.60031866575768e-07,0.000617180461363561
"Hungary","Croatia",167.508373515982,2802400,5.97731849543183e-05,0.0801919270112121
"Hungary","Czechia",3.8626103500761,2802400,1.37832227736087e-06,0.00184916228821542
"Hungary","Germany",17.5879147640791,2802400,6.27601868544075e-06,0.0084199299858039
